Theme,,Question,Answer 1,Answer 2,Answer 3,Answer 4,Description,Enabled,,
World of Warcraft,352,Which class does not have any healing spells or effects that do not require glyphs?,Маг,Hunter,Druid,Priest,,,,
World of Warcraft,353,What category of Armor do Druids wear?,Leather,Cloth,Mail,Plate,,,,
World of Warcraft,354,Which of these Alliance capitols was recently conquered by the Horde?,Darnassus,Stormwind,Ironforge,Exodar,,,,
World of Warcraft,355,Is World of Warcraft a good game?,Yes,I haven't played it yet,No,Don't know,,,,
World of Warcraft,356,Who is the King of Stormwind City?,Varian Wrynn,Jaina Proudmoore,Anduin Wrynn,Some hobo from Westfall,,,,
World of Warcraft,357,Which class can summon Demons to fight?,Warlock,Paladin,Mage,Priest,,,,
World of Warcraft,358,Select all classes that use shadow magic,All answers,Priest,Death Knight,Warlock,,,,
World of Warcraft,359,What level do you start establishing a garrison on Draenor?,Level 90,Level 21,Level 120,Level 1,,,,
World of Warcraft,360,"The Darkmoon Faire recieved it's biggest update, with it's own island and currency, with which WoW expansion?",Catacalysm,Legion,Burning Crusade,Battle for Azeroth,,,,
World of Warcraft,361,When is the Darkmoon faire?,The first weekend of every month,Every leap year,Every weekday,Once every year,,,,
World of Warcraft,362,What event led to the creation of the physical universe?,Clash of Light and Void,The Titan's Plan,Greate Exposion,None of the answers is correct,,,,
World of Warcraft,363,Who was the first Titan?,Aman'Thul,Sargeras,None of the answers is correct,Queen Azshara,,,,
World of Warcraft,364,In which dimension were demons born?,Void Whirlwind,Abyss,None of the answers is correct,The Emerald Dream,,,,
World of Warcraft,365,Which of the Titans created the Burning Legion?,Sargeras,None of the answers is correct,Norgannon,Aggramar,,,,
World of Warcraft,366,Who originally ruled over Azeroth?,Lords of the Elementals,None of the answers is correct,Titans,Old Gods,,,,
World of Warcraft,367,Which of the Old Gods corrupted Loki?,Yogg-Saron,Y'Shaarj,N'Zoth,None of the answers is correct,,,,
World of Warcraft,368,Which troll tribe served as the spiritual leaders of the entire troll race?,Zandalar,Amani,Drakkari,None of the answers is correct,,,,
World of Warcraft,369,Who became the first Guardian in the game World of Warcraft?,Alodi,Medivh,Egwynn,None of the answers is correct,,,,
World of Warcraft,370,"Hemet Nesingwary is one of the most famous NPCs in the history of World of Warcraft, whom players can encounter (and receive numerous hunting-related quests from) in almost every expansion of the game. In which location can he be found in Northrend?",Sholazar Basin,Grizzly Hills,Borean Tundra,Thunder Bluff,,,,
World of Warcraft,371,At what level do flying mounts become available in Northrend?,77,75,70,80,,,,
World of Warcraft,372,"The new class introduced in the expansion, the Death Knight, had a unique starting chain where players were tasked with assisting the Lich King in his nefarious plans and orchestrating a true genocide of the Scarlet Crusade. And which location did all of this take place near?",Eastern Plaguelands,Western Plaguelands,Hillsbrad Foothills,Tirisfal Glades,,,,
World of Warcraft,373,"You can begin the conquest of Northrend from either Borean Tundra or Howling Fjord. To reach the former, Alliance players need to board a ship at the port of Stormwind City. But how do you get to Howling Fjord?",On a ship from Menethil Harbor,On a ship from Theramore,Using a portal in the Mage Tower,On an airship from Gnomeregan,,,,
World of Warcraft,374,What is the maximum level of profession skill in Wrath of the Lich King?,450th,425th,495th,None of the answers is correct,,,,
World of Warcraft,375,"Before dealing with the Lich King, we will have to battle his loyal dragon, the one we see every time we launch the game client. What is his name?",Sindragosa,Malygos,Dornazmu,Tyrigosa,,,,
World of Warcraft,376,What is the maximum number of siege vehicles that can be present on the attacking side in 'Lake Wintergrasp'?,16,12,8,0,,,,
World of Warcraft,377,Who was the Warchief of the Horde during the time of Wrath of the Lich King?,Thrall,Cairne,Vol'jin,Garrosh,,,,
World of Warcraft,378,Which of these factions could you not gain reputation with in Wrath of the Lich King?,Clan of the Thundering Hammer,Ashen Union,Kal'uak,The Dragonflight,,,,
World of Warcraft,379,What is the Burning Legion?,"An army of demons, infernals, and corrupted races that seek to destroy any traces of order in the universe",An army of elves and sorcerers who want to save the universe,These are farmers who maintain order in the universe,None of the answers is correct,,,,
World of Warcraft,380,How did the First War begin?,The First War began after the invasion of orc clans from Draenor through the Dark Portal and their attacks on human settlements,The First War started after the assault of the warlocks on humans,The First War did not begin,None of the answers is correct,,,,
World of Warcraft,381,What is the Alliance in the game World of Warcraft?,"One of the two powerful factions of mortal races in Azeroth, opposing the Horde",This is a faction composed of the races of Azeroth and the Horde,This is a state-level cooperation to achieve common goals,None of the answers is correct,,,,
World of Warcraft,382,What is Azeroth in the World of Warcraft?,"This is a planet resembling Earth, where a large portion of the described events of the Warcraft universe takes place specifically on it",This is the galaxy where all the main events of the game take place,The name of the main hero in Warcraft is...,None of the answers is correct,,,,
Dota 2,383,Which hero is capable of restoring health to towers in the game?,Treant Protector,Tinker,Dazzle,Io,,,,
Dota 2,384,Which hero can kill another player using their own ability?,Rubick,Zeus,Bane,Axe,,,,
Dota 2,385,In which year did Natus Vincere team become the winner of The International?,2011,2010,2012,2013,,,,
Dota 2,386,Which type of damage is not present in Dota 2?,Mixed,Pure,Magic,Physical,,,,
Dota 2,387,The most powerful neutral character?,Roshan,Dragon,Centaur,Lizard,,,,
Dota 2,388,What is not an official role?,Gunker,Support,Carry,Initiator,,,,
Dota 2,389,Which hero has spell vamp mechanics in their abilities?,N'aix,Invoker,Techies,Riki,,,,
Dota 2,390,What is the expansion of the acronym Dota?,Defense of the Ancients,Dragon's treasures.,Ancient forces,Legacy of the Ancients,,,,
Dota 2,391,Why will the battle of the ancients never end?,Due to the multiverses,Valve needs more gold,Dota 2 heroes are located in a magical dimension,A curse has been cast upon the battle,,,,
Dota 2,392,Who is the guardian of the Dota 2 realm of the dead?,Visage,Abaddon,Arc Warden,Undying,,,,
Dota 2,393,Who among the following was the first hero created in Dota 2?,Lina,Anti-Mage,Pudje,Invoker,,,,
Dota 2,394,Which of the following passive abilities does not work on buildings?,Mortla Strike,Return,Phantom Rush,Curse of Avernus,,,,
Dota 2,395,Who attempted to tame Viper?,Pugna,Necrophos,Lich,Death Prophet,,,,
Dota 2,396,How many fundamentals are there in Dota 2?,4,3,6,5,,,,
Dota 2,397,Who is Roshan?,Ordinary thief,Chance to win the game,Summoned guardian from hell,Giant monster,,,,
Dota 2,398,Who has the original Aghanim's Scepter?,Rubick,Alchemist,Lifestealer,Valve,,,,
Dota 2,399,What is Earthshaker concerned about in his new Arcana?,About multiverses,About the broken horn,About the battle of Mo'rokai,What he is blue,,,,
Dota 2,400,Which team became the champion of The International 2015?,Evil Geniuses,CDEC Gaming,LGD Gaming,Team Secret,,,,
Dota 2,401,Which of these buildings is considered the main building of the team?,Throne,Headquarters,Barrack,Stock,,,,
Dota 2,402,"Which hero utilizes the ability ""Black Hole""?",Enigma,Void,Pudge,Dazzle,,,,
Dota 2,403,Which hero summons Golems to attack enemies?,Warlock,Earth Spirit,Riki,Axe,,,,
Dota 2,404,Which hero transforms into a dragon?,Dragon Knight,Lina,Luna,Puck,,,,
Dota 2,405,Who is the creator of Dota 2?,Valve,Blizzard,Riot Games,Epic Games,,,,
Dota 2,406,Which of these runes does not spawn in the river?,Teleportation,Illusions,Double Damage,Regeneration,,,,
Dota 2,407,Which animal is depicted on the logo of Virtus.pro team?,Bear,Lion,Wolf,Eagle,,,,
Dota 2,408,What is the name of the largest Dota 2 league in the world?,The International,DreamLeague,ESL One,Dota Pit,,,,
Dota 2,409,What is the name of the main prize at The International tournament?,Aegis of Champions,Sword of the Divine,Eye of Skadi,Black King Bar,,,,
Dota 2,410,What is the name of the hero who has Chronosphere?,Void,Earthshaker,Bristleback,Axe,,,,
Dota 2,411,Which hero is a support hero?,Crystal Maiden,Ursa,Juggernaut,Phantom Assasin,,,,
Dota 2,412,Which hero is a carry?,Juggernaut,Abaddon,Pudge,Bane,,,,
Dota 2,413,Which hero is a tank?,Centaur Warrunner,Lion,Riki,Lucan,,,,
Dota 2,414,Which hero can create illusions of themselves?,Phantom Lancer,Puck,Bristleback,Death Prophet,,,,
Dota 2,415,Which hero has the ability to transform into a wolf?,Lycan,Beastmaster,Shadow Fiend,Pugna,,,,
Dota 2,416,Which hero can create portals for teleportation across the map?,Ember Spirit,Tinker,Sniper,Dragon Knight,,,,
Dota 2,417,Which hero can summon zombie minions?,Undying,Necrophos,Dazzle,Lina,,,,
Dota 2,418,Which hero can slow down and blind enemies with their beams?,Keeper of the Light,Outworld Devourer,Gyrocopter,Bane,,,,
Dota 2,419,Which hero can create copies of enemies?,Dark Seer,Phantom Lancer,Arc Warden,Enigma,,,,
Dota 2,420,Which hero can become invisible indefinitely?,Riki,Puck,Pudge,Axe,,,,
Dota 2,421,Which hero can create invisible traps on the map?,Templar Assassin,Earthshaker,Dazzle,Phantom Assasin,,,,
Dota 2,422,Which hero can summon spirits to attack enemies?,Storm Spirit,Centaur Warrunner,Abaddon,Juggernaut,,,,
Dota 2,423,Which hero has the ability to sacrifice their own health to increase damage?,Huskar,Beastmaster,Riki,Lina,,,,
Dota 2,424,Which hero can pull enemies towards themselves?,Pudge,Ursa,Bristleback,Slark,,,,
Dota 2,425,Which team became the champion of The International 2012?,Invictus Gaming,Natus Vincere,LGD Gaming,Evil Geniuses,,,,
Dota 2,426,"When killing which hero does Pudge say the phrase ""Now there are definitely butterflies in my stomach""?",Puck,Death Prophet,Dark Willow,IO,,,,
Dota 2,427,In which genre is the game Dota 2?,MOBA,MMORPG,Life simulator,Shooter,,,,
Dota 2,428,What of these does not provide the item Butterfly?,Movement speed,Attack speed,Damage,Agility,,,,
Dota 2,429,How did Zeus end up in the Battle of the Ancients?,He was sent by his wife,He came to restore the glory of the Greek gods,Arc Warden asked him for help,To find other Greek gods,,,,
Dota 2,430,Who already has offspring?,Pangolier,Bristleback,Crystal Maiden,Tusk,,,,
Dota 2,431,What phrase is written on the original Vanguard?,No blade shall drink here,Courage breaks steel,"Cast away fear, all who bear me",There is peace behind me... and ahead,,,,
Dota 2,432,Who among their people has earned a reputation as a great creator of art?,Centaur Warrunner,Zeus,Grimstroke,Templar Assassin,,,,
